batch_size,example (TFLOPS),reference (TFLOPS)
128.000000,45.197202,64.403429
160.000000,59.920356,78.779863
192.000000,72.583207,93.953230
224.000000,85.747046,110.678792
256.000000,92.631573,129.241473
320.000000,124.429636,157.966523
384.000000,148.637005,186.201236
448.000000,149.114594,218.578459
512.000000,193.052547,240.490019
640.000000,252.850421,294.698212
768.000000,300.988427,354.501524
896.000000,327.280309,408.040669
1024.000000,403.092041,463.850860
1280.000000,488.550828,579.642604
1536.000000,592.435120,691.682518
1792.000000,723.786422,693.636832
2048.000000,824.081640,798.535817
2560.000000,1041.818451,1004.874975
3072.000000,1258.747150,1229.815130
3584.000000,1468.244552,1450.923516
4096.000000,1404.890233,1326.045201
5120.000000,1499.471783,1396.545659
6144.000000,1872.892534,1775.499212
7168.000000,2178.671224,2090.463051
8192.000000,1950.819717,1843.591213
9216.000000,2020.239735,1850.880916
10240.000000,2243.163309,2076.504549
11264.000000,2443.676857,2304.726614
12288.000000,2349.500846,2251.089252
13312.000000,2341.081583,2203.080334
14336.000000,2496.007508,2356.478440
15360.000000,2650.424607,2515.428516
16384.000000,2518.802933,2319.595389
17408.000000,2607.517191,2521.120180
18432.000000,2635.168360,2522.586095
19456.000000,2745.116384,2633.218860
20480.000000,2672.570168,2548.898205
21504.000000,2682.165858,2575.775488
22528.000000,2780.748555,2700.777971
23552.000000,2780.951034,2679.910846
24576.000000,2838.154328,2745.805533
25600.000000,2817.991843,2738.869553
26624.000000,2886.932236,2837.472705
27648.000000,2858.750583,2779.287177
28672.000000,2809.930760,2755.959879
29696.000000,2827.113523,2656.741859
30720.000000,2904.974235,2653.150728
31744.000000,2934.345927,2731.817264
