batch,provider,slice_size,block_m,row_subtile,ms,tflops
128,example,4,16,2,0.0326450445145523,67.07669211551786
128,reference,4,16,2,0.03303659985832365,66.28168786710944
256,example,8,16,2,0.0326734311372331,136.06769308454346
256,reference,8,16,2,0.03351390086687528,132.65535449483207
512,example,16,32,4,0.03378699696706441,249.41874556696334
512,reference,16,32,4,0.03414942095548951,246.77169229264322
1024,example,32,64,4,0.035831477077915924,479.634059255466
1024,reference,32,64,4,0.03632778898396595,473.08127691408384
2048,example,64,128,8,0.040926735748428617,841.4633654559723
2048,reference,64,128,8,0.042708275391231815,806.3624317424517
4096,example,128,128,8,0.047990359631940024,1451.811583292014
4096,reference,128,128,8,0.04987028018354227,1397.0837890538426
8192,example,256,128,8,0.07188326155336766,1943.1185088381153
8192,reference,256,128,8,0.07841328114002674,1781.3015087402114
16384,example,512,128,8,0.1118652004106715,2486.5731020803187
16384,reference,512,128,8,0.12136726051214922,2291.894842366943
