batch,provider,slice_size,block_m,row_subtile,ms,tflops
128,example,4,16,2,0.032641439269089086,67.08410073307125
128,reference,4,,,0.03303611814513687,66.28265434758234
160,example,5,16,2,0.03257922961444798,82.48769635756578
160,reference,5,,,0.03324663657158025,80.83180366874222
192,example,6,16,2,0.03269501601249722,98.43173646924892
192,reference,6,,,0.03339978508171027,96.35472779620675
224,example,7,16,2,0.032759994498185833,115.45320620274987
224,reference,7,,,0.03347825272682986,112.97621864742254
256,example,8,16,2,0.032895375125490574,135.14964894122633
256,reference,8,,,0.033524212518112155,132.61455127687384
320,example,10,32,4,0.03378492992929113,163.99794854084675
320,reference,10,,,0.034339402283368126,161.3499021991874
384,example,12,32,4,0.033814602337776535,194.27005925961015
384,reference,12,,,0.03428144035799315,191.62452719021522
448,example,14,32,4,0.033870581998992004,227.2533492406204
448,reference,14,,,0.0344278466915656,223.57492378068827
512,example,16,32,4,0.033896453662766876,248.61333530170006
512,reference,16,,,0.034645889006288476,243.2355076375849
640,example,20,64,4,0.036386423795417164,299.07453563410127
640,reference,20,,,0.03759673484502602,289.4467523538072
768,example,24,64,4,0.0357086168935555,366.07338892364544
768,reference,24,,,0.036436985999390194,358.75564461393077
896,example,28,64,4,0.0354104234360151,427.24667292774217
896,reference,28,,,0.03623896351302838,417.4784302139583
1024,example,32,64,4,0.03593437249388673,478.26066262667416
1024,reference,32,,,0.036537825485755654,470.36178457582247
1280,example,40,64,4,0.03566237215455459,601.920340771793
1280,reference,40,,,0.03652553221672568,587.6959457464218
1536,example,48,64,4,0.03599229676012331,723.6108374405048
1536,reference,48,,,0.03662600812625922,711.0907612486252
1792,example,56,64,4,0.04156561882146708,733.5440988130543
1792,reference,56,,,0.042809434859381115,712.2311822184328
2048,example,64,128,8,0.04061853272134869,847.8481740405052
2048,reference,64,,,0.04253474334906642,809.6522063710976
2560,example,80,128,8,0.040498133939723104,1053.5397424361354
2560,reference,80,,,0.04187195659510981,1018.9730088940474
3072,example,96,128,8,0.040751481359042746,1272.5080676973485
3072,reference,96,,,0.04096868070533637,1265.761745489779
3584,example,112,128,8,0.04112288111246909,1486.9171406732855
3584,reference,112,,,0.041351855522147055,1478.68375017057
4096,example,128,128,8,0.04855420114663721,1434.9522462450282
4096,reference,128,,,0.049630146651601204,1403.8435245637572
5120,example,160,128,8,0.05924021191507764,1465.0960689407968
5120,reference,160,,,0.06177689057809335,1404.936389446209
6144,example,192,128,8,0.05508772874427613,1896.543291610213
6144,reference,192,,,0.058934058503066475,1772.765444188166
7168,example,224,128,8,0.05567624674089294,2189.9407222514315
7168,reference,224,,,0.05913749241120006,2061.766149166448
8192,example,256,128,8,0.07159481367433715,1950.9471263568194
8192,reference,256,,,0.07720247163643194,1809.2386556972083
9216,example,288,128,8,0.07744141157515541,2021.7231480608607
9216,reference,288,,,0.08517114551273507,1838.2410317187746
10240,example,320,128,8,0.0776550859420316,2240.4628401271234
10240,reference,320,,,0.08537908519676071,2037.7746376533084
11264,example,352,128,8,0.07880993568916315,2435.3834871405925
11264,reference,352,,,0.0857813482215201,2237.4609396946926
12288,example,384,128,8,0.09008844903552043,2323.466333818995
12288,reference,384,,,0.09609343289473068,2178.2703780528377
13312,example,416,128,8,0.09791023261023024,2313.0401344418524
13312,reference,416,,,0.10543474026569222,2147.9665718272936
14336,example,448,128,8,0.09865169098510196,2466.5012426066373
14336,reference,448,,,0.10604507957924987,2294.538505373633
15360,example,480,128,8,0.10009730774679301,2600.915379847877
15360,reference,480,,,0.10710303386844959,2430.786671456674
16384,example,512,128,8,0.11183634090081765,2487.21476542842
16384,reference,512,,,0.12187311412331586,2282.381970797481
17408,example,544,128,8,0.11633541476856475,2529.627908968607
17408,reference,544,,,0.1230874553925456,2390.863561696657
18432,example,576,128,8,0.12004486869549008,2586.6091718393072
18432,reference,576,,,0.12797743033828093,2426.2806150993615
19456,example,608,128,8,0.12197232916110003,2672.490738202282
19456,reference,608,,,0.12975266045245293,2512.240742219306
20480,example,640,128,8,0.1318075210859988,2608.4965862886716
20480,reference,640,,,0.14004234353182768,2455.1107909862953
21504,example,672,128,8,0.13759256526185093,2620.111056974056
21504,reference,672,,,0.14710902311863044,2450.616515271686
22528,example,704,128,8,0.13945205560582136,2713.88529595975
22528,reference,704,,,0.14798778409892802,2557.3521862250886
23552,example,736,128,8,0.14613947472913438,2705.0261726525196
23552,reference,736,,,0.15623010918766583,2530.3131775011857
24576,example,768,128,8,0.14991436882290993,2751.3301522633446
24576,reference,768,,,0.1595663717624576,2584.9050689328483
25600,example,800,128,8,0.15643654504951404,2745.4200798417223
25600,reference,800,,,0.1675224328889816,2563.740417288605
26624,example,832,128,8,0.15904106075282037,2802.261873068503
26624,reference,832,,,0.16825714654775303,2648.771300026255
27648,example,864,128,8,0.16524514718977193,2799.2477060084634
27648,reference,864,,,0.1755740135720691,2634.5704001926733
28672,example,896,128,8,0.17477197507912834,2744.6147506362113
28672,reference,896,,,0.18498087264478397,2593.1423824620274
29696,example,928,128,8,0.1798733084020609,2756.602613277551
29696,reference,928,,,0.19447814748485961,2549.588416038371
30720,example,960,128,8,0.18196187673421013,2818.49885264224
30720,reference,960,,,0.19979738538311717,2566.897158421656
31744,example,992,128,8,0.1868584140721213,2829.157472116601
31744,reference,992,,,0.2027807695531864,2607.011895481254
