batch,provider,slice_size,block_m,row_subtile,ms,tflops
128,example,4,16,2,0.032534237728825056,67.3051453748961
128,reference,4,,,0.03302923671534804,66.29646391381728
160,example,5,16,2,0.032582053335927466,82.48054756686199
160,reference,5,,,0.03325252599988027,80.81748736952123
192,example,6,16,2,0.03266239385199177,98.5300469580784
192,reference,6,,,0.033394921686231475,96.36876020364663
224,example,7,16,2,0.032723724429844635,115.5811713336188
224,reference,7,,,0.03346210713046601,113.03073011072888
256,example,8,16,2,0.03284540696105125,135.35525394073875
256,reference,8,,,0.033543126219284805,132.53977494333836
320,example,10,32,4,0.03342623545168326,165.75779848164106
320,reference,10,,,0.03432485719544599,161.4182738897192
384,example,12,32,4,0.033522105032532376,195.9651636919814
384,reference,12,,,0.03427824671891226,191.64238048311873
448,example,14,32,4,0.033602689960386296,229.06508999946482
448,reference,14,,,0.034372182947539694,223.93699031998645
512,example,16,32,4,0.033832305886056846,249.08471885958642
512,reference,16,,,0.03464487663886192,243.24261528895516
640,example,20,64,4,0.03587562360870781,303.33278436332563
640,reference,20,,,0.03762896059058872,289.198867818893
768,example,24,64,4,0.03544242414123809,368.8228081665117
768,reference,24,,,0.03639086870655435,359.2102872126713
896,example,28,64,4,0.03528167270511314,428.80579179023607
896,reference,28,,,0.03625158421242696,417.33308843407235
1024,example,32,64,4,0.03559417672227676,482.8316984009374
1024,reference,32,,,0.0365195622988319,470.59700933353474
1280,example,40,64,4,0.03532946888174279,607.5921285953136
1280,reference,40,,,0.036512920789984596,587.8989337354803
1536,example,48,64,4,0.03564141601817306,730.7346034377623
1536,reference,48,,,0.036633276080660665,710.9496825414775
1792,example,56,64,4,0.04103324719240401,743.0612122173038
1792,reference,56,,,0.04280541123751409,712.2981305054903
2048,example,64,128,8,0.03985837063309377,864.0179779804241
2048,reference,64,,,0.04255587972634356,809.2500735845784
2560,example,80,128,8,0.03970461188361693,1074.5954078348557
2560,reference,80,,,0.041902641919986036,1018.2268144684614
3072,example,96,128,8,0.03985658044892759,1301.0797267580263
3072,reference,96,,,0.040925831507399826,1267.0869934707075
3584,example,112,128,8,0.039741538813221435,1538.5996271401928
3584,reference,112,,,0.04143328090939359,1475.777815754319
4096,example,128,128,8,0.04678517043043911,1489.210349326199
4096,reference,128,,,0.04957790064802257,1405.3229178589456
5120,example,160,128,8,0.057218496628647524,1516.86267053276
5120,reference,160,,,0.061760873977580136,1405.300735081998
6144,example,192,128,8,0.05363935662772969,1947.7538316704827
6144,reference,192,,,0.05883646505287444,1775.7059725819784
7168,example,224,128,8,0.05360562869067021,2274.531294159057
7168,reference,224,,,0.05911340124066772,2062.60640465598
8192,example,256,128,8,0.06954498199809474,2008.4511058443672
8192,reference,256,,,0.0772088235561249,1809.0898108098356
9216,example,288,128,8,0.07635182689087255,2050.5743054946665
9216,reference,288,,,0.08525982356675652,1836.3290920654213
10240,example,320,128,8,0.07678567881202182,2265.8305180309294
10240,reference,320,,,0.08526615796202022,2040.4734839524108
11264,example,352,128,8,0.07786128768621034,2465.05576395691
11264,reference,352,,,0.08552288641129208,2244.2228513776877
12288,example,384,128,8,0.0877896377313521,2384.307348898502
12288,reference,384,,,0.0961920516961638,2176.037153892495
13312,example,416,128,8,0.09558115830687808,2369.4031502828425
13312,reference,416,,,0.10525339431057122,2151.6674030649697
14336,example,448,128,8,0.09643040885803096,2523.317294632992
14336,reference,448,,,0.10566356861648929,2302.823211310961
15360,example,480,128,8,0.09778282518169938,2662.4780652044915
15360,reference,480,,,0.10713592150424259,2430.040490104809
16384,example,512,128,8,0.11183323049676247,2487.283942030563
16384,reference,512,,,0.12191856776006647,2281.5310539688735
17408,example,544,128,8,0.11498041141894871,2559.438676277879
17408,reference,544,,,0.12315397414320685,2389.572192431215
18432,example,576,128,8,0.12013445845046364,2584.680219189864
18432,reference,576,,,0.1279898603071036,2426.0449824302705
19456,example,608,128,8,0.12170037950683688,2678.462641784019
19456,reference,608,,,0.12965720058165364,2514.090374754893
20480,example,640,128,8,0.1313970573080245,2616.645120095872
20480,reference,640,,,0.14020157747134895,2452.322398942063
21504,example,672,128,8,0.13860800215902438,2600.9162240603605
21504,reference,672,,,0.14678943573727896,2455.9519545073413
22528,example,704,128,8,0.13971893284596554,2708.7015015869997
22528,reference,704,,,0.1477879371550998,2560.8103779323937
23552,example,736,128,8,0.14713143486765207,2686.78888611119
23552,reference,736,,,0.15594209177425494,2534.986542134247
24576,example,768,128,8,0.150213301743153,2745.8548504929645
24576,reference,768,,,0.15912056876060135,2592.147114686075
25600,example,800,128,8,0.1577683504554791,2722.2445487962223
25600,reference,800,,,0.16769089413829058,2561.1648993046397
26624,example,832,128,8,0.15978261854094483,2789.256458992092
26624,reference,832,,,0.1682765007019043,2648.466654232943
27648,example,864,128,8,0.1655983076606184,2793.2779370426124
27648,reference,864,,,0.17498546492796435,2643.4315523887726
28672,example,896,128,8,0.17439666069878473,2750.521362496149
28672,reference,896,,,0.18486779232779377,2594.7285612058595
29696,example,928,128,8,0.18070283414249366,2743.9482858857914
29696,reference,928,,,0.19478612270132817,2545.5572764815806
30720,example,960,128,8,0.18299782557794225,2802.5433590825014
30720,reference,960,,,0.20070669407823885,2555.2677410952656
31744,example,992,128,8,0.18656543829956196,2833.6002810507757
31744,reference,992,,,0.20197818570391995,2617.3711609379006
